SI_NO,Date,Product Type,Product,Type,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Expected Profit,Expected COGS,Expected Margin,Expected Sales,State,Market,Market Size
126,2010-07-01,Espresso,Decaf Espresso,Decaf,16,57,100,43,41,14,20,40,50,90,Connecticut,East,Small Market
127,2010-08-01,Espresso,Decaf Espresso,Decaf,16,56,98,42,40,13,20,40,50,90,Connecticut,East,Small Market
128,2011-01-01,Espresso,Decaf Espresso,Decaf,47,75,145,55,47,18,40,50,70,120,Connecticut,East,Small Market
129,2011-03-01,Espresso,Decaf Espresso,Decaf,39,71,132,53,45,17,40,50,70,120,Connecticut,East,Small Market
130,2011-08-01,Espresso,Decaf Espresso,Decaf,22,56,97,42,37,13,20,40,50,90,Connecticut,East,Small Market
131,2011-10-01,Espresso,Decaf Espresso,Decaf,31,64,118,47,43,15,50,30,60,90,Connecticut,East,Small Market
132,2011-11-01,Espresso,Decaf Espresso,Decaf,39,71,132,53,45,17,40,50,70,120,Connecticut,East,Small Market
133,2011-12-01,Espresso,Decaf Espresso,Decaf,31,65,121,49,44,16,40,40,70,110,Connecticut,East,Small Market
134,2010-03-01,Herbal Tea,Lemon,Decaf,39,104,189,85,65,32,40,60,80,140,Connecticut,East,Small Market
135,2010-06-01,Herbal Tea,Lemon,Decaf,32,93,169,76,61,28,40,50,80,130,Connecticut,East,Small Market
136,2011-04-01,Herbal Tea,Lemon,Decaf,50,98,190,80,64,30,30,60,70,130,Connecticut,East,Small Market
137,2011-09-01,Herbal Tea,Lemon,Decaf,36,83,160,67,59,25,20,50,60,110,Connecticut,East,Small Market
138,2011-10-01,Herbal Tea,Lemon,Decaf,50,98,189,79,64,30,30,40,50,90,Connecticut,East,Small Market
139,2010-03-01,Herbal Tea,Mint,Decaf,46,89,163,74,43,22,50,50,70,120,Connecticut,East,Small Market
140,2011-02-01,Herbal Tea,Mint,Decaf,68,90,176,75,44,23,50,50,70,120,Connecticut,East,Small Market
141,2011-05-01,Herbal Tea,Mint,Decaf,52,80,147,68,39,21,40,50,60,110,Connecticut,East,Small Market
142,2011-09-01,Herbal Tea,Mint,Decaf,49,74,145,62,41,19,40,40,60,100,Connecticut,East,Small Market
143,2011-10-01,Herbal Tea,Mint,Decaf,52,77,151,65,42,20,50,30,50,80,Connecticut,East,Small Market
144,2011-12-01,Herbal Tea,Mint,Decaf,53,76,148,63,40,19,40,40,60,100,Connecticut,East,Small Market
145,2010-04-01,Tea,Darjeeling,Regular,43,68,115,47,25,13,60,40,80,120,Connecticut,East,Small Market
146,2010-07-01,Tea,Darjeeling,Regular,32,52,87,35,20,9,50,30,60,90,Connecticut,East,Small Market
147,2010-08-01,Tea,Darjeeling,Regular,28,49,83,34,21,9,40,30,50,80,Connecticut,East,Small Market
148,2010-09-01,Tea,Darjeeling,Regular,41,64,108,44,23,12,50,40,70,110,Connecticut,East,Small Market
149,2011-06-01,Tea,Darjeeling,Regular,46,55,91,37,20,10,40,30,60,90,Connecticut,East,Small Market
150,2010-01-01,Coffee,Columbian,Regular,38,77,130,53,39,16,70,60,100,160,Washington,West,Small Market
151,2010-03-01,Coffee,Columbian,Regular,48,89,150,61,41,19,80,70,110,180,Washington,West,Small Market
152,2010-10-01,Coffee,Columbian,Regular,56,99,167,68,43,21,110,90,140,230,Washington,West,Small Market
153,2011-01-01,Coffee,Columbian,Regular,59,77,145,53,41,16,70,60,100,160,Washington,West,Small Market
154,2011-04-01,Coffee,Columbian,Regular,80,100,180,69,46,22,90,80,130,210,Washington,West,Small Market
155,2011-06-01,Coffee,Columbian,Regular,91,114,191,79,45,25,110,90,150,240,Washington,West,Small Market
156,2010-02-01,Coffee,Decaf Irish Cream,Decaf,15,128,220,92,113,83,60,110,160,270,Washington,West,Small Market
157,2010-03-01,Coffee,Decaf Irish Cream,Decaf,16,132,227,95,116,86,70,110,170,280,Washington,West,Small Market
158,2010-04-01,Coffee,Decaf Irish Cream,Decaf,17,132,227,95,115,86,70,110,170,280,Washington,West,Small Market
159,2010-06-01,Coffee,Decaf Irish Cream,Decaf,24,154,264,110,130,100,90,130,200,330,Washington,West,Small Market
160,2010-08-01,Coffee,Decaf Irish Cream,Decaf,34,184,317,133,150,120,100,160,230,390,Washington,West,Small Market
161,2011-03-01,Coffee,Decaf Irish Cream,Decaf,24,132,242,95,116,86,70,110,170,280,Washington,West,Small Market
162,2011-06-01,Coffee,Decaf Irish Cream,Decaf,33,154,262,110,121,100,90,130,200,330,Washington,West,Small Market
163,2011-07-01,Coffee,Decaf Irish Cream,Decaf,43,173,294,124,132,112,100,150,220,370,Washington,West,Small Market
164,2011-09-01,Coffee,Decaf Irish Cream,Decaf,24,130,238,93,114,84,60,110,160,270,Washington,West,Small Market
165,2011-10-01,Coffee,Decaf Irish Cream,Decaf,25,134,245,96,117,87,100,140,190,330,Washington,West,Small Market
166,2011-12-01,Coffee,Decaf Irish Cream,Decaf,30,145,266,105,125,95,50,120,170,290,Washington,West,Small Market
167,2010-03-01,Tea,Green Tea,Regular,0,87,150,63,87,57,10,40,60,100,Washington,West,Small Market
168,2010-08-01,Tea,Green Tea,Regular,-8,61,105,44,69,39,10,20,50,70,Washington,West,Small Market
169,2010-10-01,Tea,Green Tea,Regular,0,84,144,60,84,54,10,20,40,60,Washington,West,Small Market
170,2010-11-01,Tea,Green Tea,Regular,1,86,147,61,85,55,0,40,60,100,Washington,West,Small Market
171,2011-04-01,Tea,Green Tea,Regular,0,87,160,63,87,57,10,40,60,100,Washington,West,Small Market
172,2011-05-01,Tea,Green Tea,Regular,3,90,153,64,82,58,10,40,60,100,Washington,West,Small Market
173,2011-09-01,Tea,Green Tea,Regular,3,87,159,62,85,56,10,40,60,100,Washington,West,Small Market
174,2011-10-01,Tea,Green Tea,Regular,0,84,153,60,84,54,10,20,40,60,Washington,West,Small Market
175,2010-05-01,Espresso,Caffe Mocha,Regular,16,72,130,58,56,22,20,50,70,120,Washington,West,Small Market
176,2010-07-01,Espresso,Caffe Mocha,Regular,18,74,133,59,56,22,20,50,70,120,Washington,West,Small Market
177,2011-01-01,Espresso,Caffe Mocha,Regular,20,66,134,54,56,20,20,50,60,110,Washington,West,Small Market
178,2011-02-01,Espresso,Caffe Mocha,Regular,18,65,126,53,53,20,20,50,60,110,Washington,West,Small Market
179,2011-04-01,Espresso,Caffe Mocha,Regular,22,70,135,57,55,21,30,50,70,120,Washington,West,Small Market
180,2011-11-01,Espresso,Caffe Mocha,Regular,19,67,129,54,54,20,20,50,60,110,Washington,West,Small Market
181,2010-01-01,Espresso,Decaf Espresso,Decaf,39,81,150,69,42,21,60,60,80,140,Washington,West,Small Market
182,2010-04-01,Espresso,Decaf Espresso,Decaf,39,82,151,69,43,21,60,60,80,140,Washington,West,Small Market
183,2010-05-01,Espresso,Decaf Espresso,Decaf,47,92,170,78,45,24,60,70,90,160,Washington,West,Small Market
184,2010-08-01,Espresso,Decaf Espresso,Decaf,71,123,226,103,52,31,90,90,120,210,Washington,West,Small Market
185,2010-09-01,Espresso,Decaf Espresso,Decaf,53,99,182,83,46,25,70,70,100,170,Washington,West,Small Market
186,2010-11-01,Espresso,Decaf Espresso,Decaf,45,89,164,75,44,23,40,70,80,150,Washington,West,Small Market
187,2011-03-01,Espresso,Decaf Espresso,Decaf,59,84,165,71,44,22,50,60,80,140,Washington,West,Small Market
188,2011-04-01,Espresso,Decaf Espresso,Decaf,58,82,161,69,43,21,60,60,80,140,Washington,West,Small Market
189,2011-05-01,Espresso,Decaf Espresso,Decaf,65,92,168,78,42,24,60,70,90,160,Washington,West,Small Market
190,2011-09-01,Espresso,Decaf Espresso,Decaf,79,99,194,83,46,25,70,70,100,170,Washington,West,Small Market
191,2010-01-01,Herbal Tea,Chamomile,Decaf,115,186,310,124,71,40,120,100,170,270,Washington,West,Small Market
192,2010-02-01,Herbal Tea,Chamomile,Decaf,121,195,325,130,74,42,120,110,170,280,Washington,West,Small Market
193,2010-03-01,Herbal Tea,Chamomile,Decaf,115,186,309,123,71,40,120,100,170,270,Washington,West,Small Market
194,2010-05-01,Herbal Tea,Chamomile,Decaf,98,165,275,110,67,36,100,90,150,240,Washington,West,Small Market
195,2010-06-01,Herbal Tea,Chamomile,Decaf,79,140,232,92,61,30,90,70,130,200,Washington,West,Small Market
196,2010-10-01,Herbal Tea,Chamomile,Decaf,115,188,313,125,73,41,130,90,160,250,Washington,West,Small Market
197,2010-11-01,Herbal Tea,Chamomile,Decaf,122,195,325,130,73,42,120,120,180,300,Washington,West,Small Market
198,2011-02-01,Herbal Tea,Chamomile,Decaf,180,195,346,130,74,42,120,110,170,280,Washington,West,Small Market
199,2011-04-01,Herbal Tea,Chamomile,Decaf,157,176,311,116,70,38,110,90,160,250,Washington,West,Small Market
200,2011-11-01,Herbal Tea,Chamomile,Decaf,181,195,346,130,73,42,120,120,180,300,Washington,West,Small Market
201,2010-05-01,Herbal Tea,Lemon,Decaf,36,59,99,40,23,11,50,30,50,80,Washington,West,Small Market
202,2011-05-01,Herbal Tea,Lemon,Decaf,50,59,98,40,21,11,50,30,50,80,Washington,West,Small Market
203,2010-03-01,Tea,Darjeeling,Regular,62,105,167,62,43,19,40,40,70,110,Washington,West,Small Market
204,2010-10-01,Tea,Darjeeling,Regular,57,99,159,60,42,18,40,20,50,70,Washington,West,Small Market
205,2011-02-01,Tea,Darjeeling,Regular,98,109,185,65,43,20,40,40,70,110,Washington,West,Small Market
206,2011-06-01,Tea,Darjeeling,Regular,57,78,124,47,34,14,30,30,50,80,Washington,West,Small Market
207,2011-09-01,Tea,Darjeeling,Regular,80,94,161,57,40,17,40,30,70,100,Washington,West,Small Market
208,2010-02-01,Tea,Earl Grey,Regular,41,81,137,56,40,17,40,30,60,90,Washington,West,Small Market
209,2010-06-01,Tea,Earl Grey,Regular,24,59,99,40,35,12,20,20,40,60,Washington,West,Small Market
210,2010-08-01,Tea,Earl Grey,Regular,20,54,90,36,34,11,30,20,40,60,Washington,West,Small Market
211,2010-11-01,Tea,Earl Grey,Regular,34,71,120,49,37,15,30,30,50,80,Washington,West,Small Market
212,2011-01-01,Tea,Earl Grey,Regular,75,89,168,61,43,19,40,40,60,100,Washington,West,Small Market
213,2011-03-01,Tea,Earl Grey,Regular,56,77,137,52,39,16,30,30,50,80,Washington,West,Small Market
214,2011-04-01,Tea,Earl Grey,Regular,45,68,121,46,38,14,20,30,40,70,Washington,West,Small Market
215,2011-06-01,Tea,Earl Grey,Regular,33,59,98,40,33,12,20,20,40,60,Washington,West,Small Market
216,2011-08-01,Tea,Earl Grey,Regular,28,54,89,36,32,11,30,20,40,60,Washington,West,Small Market
217,2011-11-01,Tea,Earl Grey,Regular,50,71,128,49,37,15,30,30,50,80,Washington,West,Small Market
218,2010-04-01,Espresso,Caffe Latte,Regular,32,58,103,45,26,14,30,40,50,90,Washington,West,Small Market
219,2010-05-01,Espresso,Caffe Latte,Regular,34,62,110,48,28,15,40,40,60,100,Washington,West,Small Market
220,2010-06-01,Espresso,Caffe Latte,Regular,34,62,110,48,28,15,40,40,60,100,Washington,West,Small Market
221,2010-07-01,Espresso,Caffe Latte,Regular,36,65,115,50,29,16,50,40,70,110,Washington,West,Small Market
222,2010-08-01,Espresso,Caffe Latte,Regular,17,39,69,30,22,9,30,20,40,60,Washington,West,Small Market
223,2010-09-01,Espresso,Caffe Latte,Regular,21,43,76,33,22,10,30,30,40,70,Washington,West,Small Market
224,2010-10-01,Espresso,Caffe Latte,Regular,10,29,51,22,19,7,20,10,20,30,Washington,West,Small Market
225,2011-01-01,Espresso,Caffe Latte,Regular,55,62,123,48,28,15,40,40,60,100,Washington,West,Small Market
226,2011-05-01,Espresso,Caffe Latte,Regular,47,62,109,48,26,15,40,40,60,100,Washington,West,Small Market
227,2011-07-01,Espresso,Caffe Latte,Regular,50,65,114,50,27,16,50,40,70,110,Washington,West,Small Market
228,2011-10-01,Espresso,Caffe Latte,Regular,15,29,54,22,19,7,20,10,20,30,Washington,West,Small Market
229,2011-12-01,Espresso,Caffe Latte,Regular,19,32,60,24,19,7,20,20,30,50,Washington,West,Small Market
230,2010-05-01,Coffee,Amaretto,Regular,-84,-21,106,127,63,40,-80,160,-30,130,California,West,Major Market
231,2010-07-01,Coffee,Amaretto,Regular,-138,-67,87,154,71,49,-150,190,-90,100,California,West,Major Market
232,2011-01-01,Coffee,Amaretto,Regular,-3,50,162,95,55,30,30,110,70,180,California,West,Major Market
233,2011-12-01,Coffee,Amaretto,Regular,-131,-25,109,127,63,40,-90,150,-30,120,California,West,Major Market
234,2010-04-01,Coffee,Columbian,Regular,276,428,712,284,152,99,400,350,540,890,California,West,Major Market
235,2011-04-01,Coffee,Columbian,Regular,410,428,759,284,152,99,400,350,540,890,California,West,Major Market
236,2011-11-01,Tea,Green Tea,Regular,88,114,201,75,55,24,40,50,80,130,California,West,Major Market
237,2010-05-01,Espresso,Caffe Mocha,Regular,25,168,289,121,143,109,30,110,160,270,California,West,Major Market
238,2010-12-01,Espresso,Decaf Espresso,Decaf,216,329,576,247,113,81,210,240,310,550,California,West,Major Market
239,2011-12-01,Espresso,Decaf Espresso,Decaf,321,329,614,247,113,81,210,240,310,550,California,West,Major Market
240,2011-02-01,Herbal Tea,Chamomile,Decaf,148,137,247,95,37,26,100,80,120,200,California,West,Major Market
241,2010-09-01,Herbal Tea,Lemon,Decaf,196,295,546,251,99,77,200,210,270,480,California,West,Major Market
242,2011-09-01,Herbal Tea,Lemon,Decaf,291,295,582,251,99,77,200,210,270,480,California,West,Major Market
243,2010-10-01,Herbal Tea,Mint,Decaf,26,51,90,39,25,12,40,20,40,60,California,West,Major Market
244,2010-06-01,Tea,Darjeeling,Regular,120,163,276,113,43,31,90,70,110,180,California,West,Major Market
245,2010-10-01,Tea,Earl Grey,Regular,79,111,187,76,32,21,50,30,50,80,California,West,Major Market
246,2010-06-01,Coffee,Columbian,Regular,192,288,532,244,96,75,270,300,360,660,Texas,South,Major Market
247,2010-07-01,Espresso,Caffe Mocha,Regular,112,152,256,104,40,29,120,80,140,220,Texas,South,Major Market
248,2010-10-01,Espresso,Caffe Mocha,Regular,133,179,302,123,46,34,100,70,120,190,Texas,South,Major Market
249,2011-08-01,Espresso,Caffe Mocha,Regular,184,178,298,123,42,34,120,100,150,250,Texas,South,Major Market
250,2010-11-01,Espresso,Decaf Espresso,Decaf,48,73,123,50,25,14,40,30,60,90,Texas,South,Major Market
251,2011-08-01,Herbal Tea,Lemon,Decaf,26,51,84,34,30,10,30,30,50,80,Texas,South,Major Market
252,2010-04-01,Tea,Green Tea,Regular,83,117,198,81,34,22,100,80,130,210,New York,East,Major Market
253,2011-01-01,Tea,Green Tea,Regular,84,80,150,54,27,15,70,50,90,140,New York,East,Major Market
254,2011-05-01,Tea,Green Tea,Regular,123,124,208,86,33,24,100,90,130,220,New York,East,Major Market
255,2010-12-01,Espresso,Caffe Mocha,Regular,-224,-69,66,135,155,122,-210,130,-70,60,New York,East,Major Market
256,2011-04-01,Espresso,Caffe Mocha,Regular,-304,-59,70,125,146,113,-190,120,-60,60,New York,East,Major Market
257,2011-08-01,Espresso,Caffe Mocha,Regular,-392,-95,77,173,176,156,-260,160,-90,70,New York,East,Major Market
258,2011-08-01,Herbal Tea,Lemon,Decaf,316,369,647,284,130,107,180,210,290,500,New York,East,Major Market
259,2010-09-01,Herbal Tea,Mint,Decaf,-238,-139,112,251,99,77,-180,190,-110,80,New York,East,Major Market
260,2010-07-01,Tea,Darjeeling,Regular,138,185,312,127,47,35,160,130,200,330,New York,East,Major Market
261,2011-07-01,Tea,Darjeeling,Regular,190,185,309,127,44,35,160,130,200,330,New York,East,Major Market
262,2010-05-01,Espresso,Regular Espresso,Regular,187,283,543,260,96,72,210,240,290,530,New York,East,Major Market
263,2011-10-01,Espresso,Regular Espresso,Regular,646,526,815,239,91,66,450,210,510,720,New York,East,Major Market
264,2011-02-01,Coffee,Columbian,Regular,364,387,687,258,142,90,360,320,480,800,California,West,Major Market
265,2011-08-01,Coffee,Columbian,Regular,508,546,902,364,166,127,520,450,680,1130,California,West,Major Market
266,2011-11-01,Coffee,Columbian,Regular,349,374,664,249,139,87,310,290,450,740,California,West,Major Market
267,2010-12-01,Tea,Green Tea,Regular,47,101,168,67,54,22,50,40,80,120,California,West,Major Market
268,2010-01-01,Espresso,Decaf Espresso,Decaf,203,312,546,234,109,77,200,220,300,520,California,West,Major Market
269,2010-09-01,Espresso,Decaf Espresso,Decaf,220,336,589,253,116,83,220,240,320,560,California,West,Major Market
270,2011-11-01,Espresso,Decaf Espresso,Decaf,292,304,567,228,107,75,190,220,290,510,California,West,Major Market
271,2010-11-01,Herbal Tea,Chamomile,Decaf,84,117,198,81,33,22,80,70,110,180,California,West,Major Market
272,2010-03-01,Herbal Tea,Lemon,Decaf,165,253,467,214,88,66,170,180,230,410,California,West,Major Market
273,2010-11-01,Herbal Tea,Lemon,Decaf,174,265,490,225,91,69,160,210,240,450,California,West,Major Market
274,2011-08-01,Herbal Tea,Mint,Decaf,52,68,119,52,28,17,40,40,60,100,California,West,Major Market
275,2010-11-01,Tea,Darjeeling,Regular,128,172,290,118,44,33,110,80,130,210,California,West,Major Market
276,2011-07-01,Espresso,Caffe Latte,Regular,230,266,527,266,92,74,170,250,260,510,California,West,Major Market
277,2011-08-01,Espresso,Caffe Latte,Regular,230,266,527,266,92,74,170,250,260,510,California,West,Major Market
278,2010-09-01,Coffee,Columbian,Regular,197,295,546,251,98,77,280,310,370,680,Texas,South,Major Market
279,2010-03-01,Coffee,Decaf Irish Cream,Decaf,70,109,193,84,39,27,110,100,140,240,Texas,South,Major Market
280,2010-10-01,Coffee,Decaf Irish Cream,Decaf,26,51,90,39,25,12,80,40,90,130,Texas,South,Major Market
281,2010-12-01,Espresso,Decaf Espresso,Decaf,52,79,133,54,27,15,40,40,60,100,Texas,South,Major Market
282,2011-02-01,Espresso,Decaf Espresso,Decaf,119,112,201,77,32,21,90,60,100,160,Texas,South,Major Market
283,2010-02-01,Herbal Tea,Chamomile,Decaf,33,80,140,60,47,19,50,50,80,130,Texas,South,Major Market
284,2010-03-01,Herbal Tea,Chamomile,Decaf,31,77,134,57,46,18,50,50,80,130,Texas,South,Major Market
285,2011-07-01,Herbal Tea,Chamomile,Decaf,28,63,109,47,40,15,30,40,60,100,Texas,South,Major Market
286,2010-12-01,Herbal Tea,Lemon,Decaf,24,60,101,41,36,13,30,30,60,90,Texas,South,Major Market
287,2011-05-01,Coffee,Amaretto,Regular,37,71,122,52,41,17,40,50,70,120,Ohio,Central,Major Market
288,2011-09-01,Coffee,Amaretto,Regular,42,72,133,53,44,17,50,50,80,130,Ohio,Central,Major Market
289,2010-10-01,Coffee,Decaf Irish Cream,Decaf,-5,71,122,51,76,46,30,40,70,110,Ohio,Central,Major Market
290,2010-07-01,Espresso,Caffe Mocha,Regular,81,146,291,145,65,40,120,160,180,340,Ohio,Central,Major Market
291,2011-04-01,Espresso,Caffe Mocha,Regular,138,163,346,162,70,45,130,180,200,380,Ohio,Central,Major Market
292,2011-05-01,Espresso,Caffe Mocha,Regular,116,149,295,149,60,41,120,170,180,350,Ohio,Central,Major Market
293,2011-07-01,Espresso,Caffe Mocha,Regular,112,146,288,145,60,40,120,160,180,340,Ohio,Central,Major Market
294,2011-05-01,Espresso,Decaf Espresso,Decaf,15,65,117,53,50,20,20,60,70,130,Ohio,Central,Major Market
295,2011-08-01,Espresso,Decaf Espresso,Decaf,11,60,108,49,48,18,20,50,70,120,Ohio,Central,Major Market
296,2010-04-01,Herbal Tea,Chamomile,Decaf,16,32,53,21,16,5,30,10,30,40,Ohio,Central,Major Market
297,2011-06-01,Herbal Tea,Chamomile,Decaf,12,26,44,18,16,5,20,10,20,30,Ohio,Central,Major Market
298,2010-01-01,Tea,Earl Grey,Regular,67,116,200,84,49,26,60,70,100,170,Ohio,Central,Major Market
299,2010-01-01,Coffee,Columbian,Regular,111,201,345,144,90,47,130,150,210,360,Illinois,Central,Major Market
300,2010-03-01,Coffee,Columbian,Regular,119,213,367,154,94,50,140,160,220,380,Illinois,Central,Major Market
301,2010-04-01,Coffee,Columbian,Regular,156,265,456,191,109,63,170,200,270,470,Illinois,Central,Major Market
302,2010-07-01,Coffee,Decaf Irish Cream,Decaf,150,222,376,154,72,49,170,160,230,390,Illinois,Central,Major Market
303,2011-01-01,Coffee,Decaf Irish Cream,Decaf,136,139,262,95,55,30,100,100,140,240,Illinois,Central,Major Market
304,2010-04-01,Espresso,Caffe Mocha,Regular,220,335,587,252,115,83,280,290,400,690,Illinois,Central,Major Market
305,2011-03-01,Espresso,Caffe Mocha,Regular,313,324,604,243,113,80,260,280,380,660,Illinois,Central,Major Market
306,2010-04-01,Espresso,Decaf Espresso,Decaf,149,239,478,239,90,66,200,270,290,560,Illinois,Central,Major Market
307,2010-05-01,Herbal Tea,Lemon,Decaf,68,107,190,83,39,27,60,70,90,160,Illinois,Central,Major Market
308,2010-01-01,Tea,Darjeeling,Regular,53,80,134,54,27,15,50,40,70,110,Illinois,Central,Major Market
309,2010-08-01,Tea,Darjeeling,Regular,105,145,245,100,40,28,100,80,130,210,Illinois,Central,Major Market
310,2010-10-01,Tea,Darjeeling,Regular,78,111,187,76,33,21,80,50,80,130,Illinois,Central,Major Market
311,2011-01-01,Tea,Darjeeling,Regular,83,80,150,54,28,15,50,40,70,110,Illinois,Central,Major Market
312,2011-08-01,Coffee,Columbian,Regular,225,271,463,196,100,64,190,200,290,490,Illinois,Central,Major Market
313,2010-07-01,Espresso,Caffe Mocha,Regular,259,387,678,291,128,96,340,330,470,800,Illinois,Central,Major Market
314,2010-11-01,Espresso,Caffe Mocha,Regular,196,304,532,228,108,75,290,290,390,680,Illinois,Central,Major Market
315,2010-03-01,Herbal Tea,Chamomile,Decaf,91,126,213,87,35,24,90,70,110,180,Illinois,Central,Major Market
316,2010-04-01,Herbal Tea,Chamomile,Decaf,95,132,223,91,37,25,100,70,120,190,Illinois,Central,Major Market
317,2010-04-01,Herbal Tea,Lemon,Decaf,62,100,178,78,38,25,60,60,90,150,Illinois,Central,Major Market
318,2011-01-01,Herbal Tea,Mint,Decaf,157,139,262,95,40,26,100,80,120,200,Illinois,Central,Major Market
319,2010-01-01,Coffee,Columbian,Regular,30,51,85,34,21,9,50,40,60,100,Louisiana,South,Small Market
320,2010-03-01,Coffee,Columbian,Regular,29,49,82,33,20,9,50,40,60,100,Louisiana,South,Small Market
321,2010-10-01,Coffee,Columbian,Regular,47,71,119,48,24,13,80,70,90,160,Louisiana,South,Small Market
322,2010-11-01,Coffee,Columbian,Regular,44,68,115,47,24,13,60,50,80,130,Louisiana,South,Small Market
323,2011-04-01,Coffee,Columbian,Regular,45,51,92,35,21,9,50,40,60,100,Louisiana,South,Small Market
324,2011-06-01,Coffee,Columbian,Regular,55,64,106,43,22,12,60,50,80,130,Louisiana,South,Small Market
325,2010-10-01,Coffee,Decaf Irish Cream,Decaf,45,70,118,48,25,13,80,70,90,160,Louisiana,South,Small Market
326,2010-12-01,Coffee,Decaf Irish Cream,Decaf,31,51,85,34,20,9,50,40,60,100,Louisiana,South,Small Market
327,2011-06-01,Coffee,Decaf Irish Cream,Decaf,80,85,143,59,25,16,90,70,110,180,Louisiana,South,Small Market
328,2010-04-01,Espresso,Caffe Mocha,Regular,45,84,133,49,39,15,50,40,70,110,Louisiana,South,Small Market
329,2010-05-01,Espresso,Caffe Mocha,Regular,44,82,130,48,38,14,50,40,70,110,Louisiana,South,Small Market
330,2010-06-01,Espresso,Caffe Mocha,Regular,41,78,125,47,37,14,40,40,60,100,Louisiana,South,Small Market
331,2010-07-01,Espresso,Caffe Mocha,Regular,30,65,104,39,35,12,30,30,50,80,Louisiana,South,Small Market
332,2010-11-01,Espresso,Caffe Mocha,Regular,49,88,141,53,39,16,30,40,60,100,Louisiana,South,Small Market
333,2011-01-01,Espresso,Caffe Mocha,Regular,109,113,201,67,45,20,80,50,100,150,Louisiana,South,Small Market
334,2011-02-01,Espresso,Caffe Mocha,Regular,96,109,185,65,44,20,70,50,90,140,Louisiana,South,Small Market
335,2011-10-01,Espresso,Caffe Mocha,Regular,86,99,169,60,41,18,70,30,70,100,Louisiana,South,Small Market
336,2011-12-01,Espresso,Caffe Mocha,Regular,46,66,114,41,35,12,20,30,50,80,Louisiana,South,Small Market
337,2010-04-01,Espresso,Decaf Espresso,Decaf,31,68,114,46,37,14,40,30,60,90,Louisiana,South,Small Market
338,2010-07-01,Espresso,Decaf Espresso,Decaf,21,54,90,36,33,11,20,30,40,70,Louisiana,South,Small Market
